site,y.1,y.2,y.3,elev,forest,length,date.1,date.2,date.3,ivel.1,ivel.2,ivel.3
1,0,0,0,-1.1729446,-1.156228147,1.824549292,-1.761481481,0.30994709,1.381375661,-0.506035304,-0.506035304,-0.506035304
2,0,0,0,-1.126500968,-0.50148371,1.62924054,-2.904338624,-1.047195767,0.595661376,-0.933615097,-0.990748604,-1.162149125
3,0,0,0,-0.19762834,-0.101362109,1.458615023,-1.69005291,-0.475767196,1.452804233,-1.135575401,-1.338864391,-1.609916377
4,0,0,0,-0.104741077,0.007761963,1.686398954,-2.19005291,-0.69005291,1.238518519,-0.819348084,-0.92726693,-1.197064046
5,0,0,0,-1.033613705,-1.192602838,1.280933845,-1.832910053,0.167089947,1.381375661,0.637556343,0.880373748,1.042252017
6,0,0,0,-0.84783918,0.917129237,1.808288771,-2.618624339,0.167089947,1.381375661,-1.328866572,-1.042262422,-0.898960347
7,0,0,0,-0.909764022,-1.083478765,1.62924054,-2.69005291,-1.19005291,1.595661376,-1.44781666,-1.562083674,-1.676350688
8,0,0,0,-1.002651284,-0.792481237,1.30833282,-2.118624339,-0.475767196,1.452804233,-0.320588009,-0.556842781,-0.635594372
9,1,1,0,-0.058297445,0.553382327,1.335001067,-2.047195767,-0.547195767,1.167089947,-0.231474367,-0.231474367,-0.001436826
10,0,0,1,-0.631102233,0.808005164,2.041220329,-2.332910053,-1.118624339,-0.261481481,-1.096853689,-1.021170342,-0.831961975
11,0,0,0,0.065552239,1.79012182,1.131402111,-1.69005291,0.452804233,1.452804233,-0.224053802,0.0579277,-0.224053802
12,0,0,0,-1.111019758,-0.646982474,1.481604541,-1.832910053,-0.332910053,1.952804233,0.416813248,0.284367391,0.549259105
13,0,0,0,-0.259553182,0.844379855,1.791759469,-0.904338624,1.095661376,1.238518519,-1.353546373,-1.013602007,-1.15929245
14,0,0,0,-0.646583443,-0.319610255,1.824549292,-2.547195767,-0.261481481,1.30994709,-1.116995224,-0.224053802,-0.788016806
15,1,0,0,0.189401922,-0.101362109,1.808288771,-1.332910053,0.30994709,1.524232804,-0.27798469,-0.182449973,0.00861946
16,1,1,0,0.142958291,1.135377383,1.504077397,-1.832910053,-1.047195767,0.524232804,-0.482641283,-0.884099391,-0.819348084
17,0,0,0,-1.234869442,0.371508873,1.824549292,-2.332910053,-0.975767196,2.30994709,-1.069998307,-1.257985975,-1.210989058
18,1,1,1,-0.971688863,-0.1377368,1.931521412,-2.404338624,-0.832910053,0.667089947,-1.11495188,-0.734889856,-0.481515173
19,0,0,0,-1.219388231,-0.974354692,1.526056303,-1.332910053,-0.261481481,1.524232804,-0.861577197,-1.11495188,-0.988264539
20,0,1,0,0.313251606,1.571873674,1.30833282,0.024232804,1.524232804,3.238518519,-0.241836419,-0.241836419,-0.3993396
21,0,0,0,-1.002651284,0.080511345,1.740466175,-1.69005291,-0.261481481,1.595661376,-0.461511908,-0.614870269,-0.461511908
22,0,0,0,0.019108607,-0.610607783,1.386294361,-1.975767196,-0.475767196,1.238518519,-0.357995015,-0.212304572,0.734683305
23,1,1,1,0.483544921,0.698881091,1.704748092,-0.475767196,0.595661376,1.667089947,0.416813248,0.681704962,0.639322288
24,0,0,0,-0.398884076,-1.047104074,1.458615023,-2.404338624,-0.975767196,0.524232804,-0.457945435,-1.542153381,-1.433732586
25,0,0,0,-0.86332039,-1.156228147,1.223775432,-2.618624339,-0.547195767,0.524232804,1.865926742,1.883066795,0.923223878
26,0,0,0,-0.987170074,-0.283235564,1.435084525,-2.761481481,-0.618624339,0.881375661,-0.264336873,0.568179942,-0.264336873
27,1,0,1,-0.553696181,0.771630473,1.667706821,-1.19005291,0.452804233,2.595661376,0.426809162,0.70169679,0.481786688
28,1,1,1,0.065552239,1.135377383,1.722766598,-0.618624339,0.524232804,2.30994709,-0.420433776,-0.264336873,-0.10823997
29,1,1,1,0.003627397,0.298759491,1.62924054,-1.047195767,0.452804233,2.095661376,0.951790632,1.408858687,1.237458166
30,0,0,0,-0.693027075,0.189635418,1.824549292,-2.19005291,-0.618624339,0.30994709,0.903872206,0.91327159,1.054262341
31,0,0,0,-0.925245232,-1.083478765,1.648658626,-2.904338624,-0.975767196,1.452804233,-1.697226392,-1.753261178,-1.585156821
32,0,0,0,-1.064576126,-1.156228147,1.704748092,-1.761481481,-0.547195767,-0.404338624,-1.06658035,-1.543385435,-1.437428749
33,0,0,0,0.142958291,0.626131709,1.722766598,-1.332910053,-0.261481481,1.30994709,-0.836692184,-0.472466077,-0.63896944
34,0,0,0,-0.383402865,0.116886036,1.435084525,-2.118624339,-0.118624339,0.595661376,0.568179942,0.151921534,0.151921534
35,0,0,0,-1.033613705,0.517007637,1.410986974,-0.761481481,-0.19005291,0.595661376,0.222990043,-0.629832061,-0.203421009
36,1,1,NA,1.009906078,-0.719731856,1.667706821,1.095661376,2.881375661,NA,0.976584418,0.041966483,NA
37,1,1,1,1.180199393,0.989878619,1.62924054,0.452804233,1.381375661,2.167089947,0.951790632,1.123191152,1.180324659
38,1,1,1,-0.135703498,1.717372438,1.280933845,-2.118624339,-0.261481481,1.595661376,0.394738939,-0.009956735,0.151921534
39,0,0,NA,1.288567866,-1.26535222,1.547562509,1.595661376,2.095661376,NA,0.337909334,0.585893066,NA
40,0,0,0,-0.600139812,-1.083478765,1.840549633,-2.19005291,-1.261481481,1.095661376,-0.726846215,-1.096853689,-1.00435182
41,1,1,1,0.855093973,0.844379855,1.280933845,-0.475767196,1.30994709,1.952804233,-0.819348084,-0.738408949,-0.981226353
42,0,0,0,-0.089259866,2.299367493,1.193922468,-1.832910053,-0.761481481,0.595661376,0.240218772,0.240218772,0.681704962
43,0,0,0,-0.86332039,-0.064987419,1.386294361,-2.332910053,-0.618624339,1.452804233,-0.139459351,-0.139459351,0.297611977
44,0,0,0,-0.909764022,0.6625064,2.151762203,-1.832910053,-0.832910053,0.595661376,-1.508271882,-1.643797875,-1.474390384
45,1,1,1,1.025387288,-0.646982474,1.931521412,0.095661376,0.667089947,1.595661376,-0.101453149,-0.22814049,-0.101453149
46,0,0,0,-0.383402865,-0.683357165,1.774952351,-1.832910053,-1.047195767,0.595661376,-0.539490736,-0.687650508,-0.737037099
47,1,1,1,-0.987170074,0.917129237,1.458615023,-1.904338624,-0.261481481,2.595661376,0.897314497,0.490736517,0.490736517
48,0,0,0,-1.1729446,-1.192602838,1.808288771,-1.832910053,-0.118624339,2.167089947,-0.373519406,-0.469054123,-0.660123556
49,1,1,1,0.344214027,0.626131709,1.740466175,-1.975767196,-0.404338624,1.595661376,-0.308153548,-0.308153548,-0.308153548
50,0,0,0,-0.445327707,0.844379855,1.931521412,-2.118624339,-0.618624339,0.524232804,-1.199410108,-0.903806311,-1.157180994
51,1,1,1,0.43710129,0.553382327,1.774952351,-2.19005291,-0.547195767,1.524232804,-0.983970053,-0.588877327,-0.83581028
52,0,0,NA,1.040868499,-0.828855928,1.504077397,-0.547195767,0.80994709,NA,-0.042332389,-0.236586313,NA
53,0,0,0,0.375176448,-0.210486182,1.30833282,-2.618624339,-0.832910053,0.595661376,0.073169944,0.545679488,0.230673125
54,0,0,0,-0.894282811,-0.683357165,1.589235205,-1.69005291,-1.19005291,-0.547195767,-1.096853689,-1.215784662,-1.037388202
55,0,0,0,-0.971688863,1.753747129,1.16315081,-2.332910053,-0.261481481,0.524232804,0.334034588,0.425091114,0.789317221
56,0,0,0,-0.662064654,1.608248365,1.386294361,-2.404338624,-1.332910053,0.381375661,0.661838084,0.734683305,0.516147641
57,1,1,1,0.947981236,0.589757018,1.740466175,-0.475767196,1.095661376,1.667089947,-0.205914641,0.100802081,-0.001436826
58,0,0,0,-0.770433127,-0.974354692,1.808288771,-2.69005291,-0.761481481,0.381375661,-1.567703363,-1.519936005,-1.615470721
59,0,0,1,-0.290515602,0.371508873,1.435084525,-2.904338624,-1.047195767,0.095661376,0.568179942,0.568179942,0.568179942
60,0,0,0,-1.018132495,-1.083478765,1.840549633,-2.404338624,-1.261481481,0.452804233,-1.096853689,-1.050602754,-1.189355557
61,0,0,0,-0.646583443,1.062628001,1.568615918,-1.975767196,-0.975767196,-0.475767196,-0.394417626,-0.394417626,-0.212304572
62,0,0,0,-1.250350652,-0.756106546,2.240709689,-2.404338624,0.095661376,1.667089947,-1.211988993,-1.273984926,-1.490970692
63,0,0,NA,2.3722526,-1.26535222,0.641853886,2.667089947,3.238518519,NA,0.918713338,0.458638256,NA
64,0,0,0,-0.816876759,-1.26535222,1.62924054,-2.261481481,-0.618624339,0.167089947,-0.019478986,-0.362280028,-0.819348084
65,0,0,0,-0.801395548,-0.174111491,1.667706821,-2.332910053,-0.261481481,0.667089947,-0.122966093,0.20689906,0.70169679
66,1,1,0,-0.693027075,-0.646982474,1.931521412,-2.404338624,-0.975767196,1.024232804,-0.734889856,-0.22814049,-0.22814049
67,0,0,0,-1.111019758,1.099002692,1.526056303,-2.404338624,-0.618624339,-0.19005291,-0.671546185,-0.671546185,-0.671546185
68,0,0,0,-1.265831863,-0.174111491,1.871802177,-2.547195767,-1.19005291,0.595661376,-0.475668065,-0.61015155,-0.520495893
69,0,0,0,-1.436125178,-1.26535222,1.435084525,-1.832910053,-0.261481481,0.667089947,0.42942714,0.98443835,0.98443835
70,0,0,NA,1.180199393,-1.083478765,1.62924054,1.595661376,2.667089947,NA,0.666123097,0.666123097,NA
71,0,0,NA,1.923297496,-1.26535222,1.410986974,2.452804233,3.024232804,NA,-0.416626535,-0.985174604,NA
72,0,0,1,0.220364343,1.135377383,1.757857918,-1.904338624,-0.975767196,0.80994709,-0.802602056,-0.903078223,-0.903078223
73,0,0,0,-0.600139812,-0.974354692,1.686398954,-1.975767196,-0.475767196,1.30994709,-0.171835005,-0.171835005,0.151921534
74,0,0,0,-1.095538547,1.462749601,2.128231706,-2.047195767,-0.547195767,0.595661376,-0.784659883,-0.888724485,-1.096853689
75,0,0,0,-1.18842581,1.208126764,1.960094784,-2.261481481,-0.261481481,1.524232804,-0.791988376,-0.668869692,-0.545751008
76,1,1,1,1.180199393,1.353625528,1.386294361,0.738518519,1.738518519,2.881375661,-0.795066343,-1.013602007,-0.722221122
77,1,1,1,0.607394605,2.19024342,1.667706821,-1.832910053,-0.904338624,0.167089947,0.646719264,0.591741739,0.20689906
78,1,1,1,1.08731213,0.808005164,1.740466175,-0.261481481,1.595661376,2.595661376,-0.308153548,0.305279895,-0.103675733
79,0,0,0,0.173920712,1.062628001,1.386294361,-2.19005291,0.452804233,1.452804233,0.297611977,0.297611977,0.006231092
80,1,1,1,0.251326764,0.335134182,1.504077397,-1.832910053,-0.761481481,-0.118624339,1.382196384,0.605180689,0.346175458
81,1,0,0,-0.460808918,0.335134182,1.568615918,-2.904338624,-1.19005291,-0.475767196,-0.394417626,-0.212304572,-0.394417626
82,0,0,0,-0.723989496,-0.028612728,1.960094784,-2.69005291,-1.261481481,0.30994709,-0.668869692,-0.545751008,-0.422632324
83,0,0,0,-0.84783918,-0.50148371,1.686398954,-2.404338624,-0.761481481,0.524232804,0.475678074,0.475678074,0.637556343
84,0,0,0,-1.126500968,-0.428734328,1.568615918,-1.832910053,-0.832910053,0.452804233,-0.940756786,-0.940756786,-0.940756786
85,0,NA,NA,1.830410233,-1.228977529,2.186051277,0.452804233,1.595661376,NA,-0.601085248,NA,NA
86,1,1,1,0.731244289,0.298759491,1.609437912,-1.904338624,-0.832910053,0.595661376,0.734683305,0.559854774,0.03536918
87,1,1,1,1.350492708,-0.174111491,1.410986974,0.524232804,1.30994709,1.667089947,1.075812147,0.862606621,1.075812147
88,0,0,0,-0.600139812,-0.319610255,1.568615918,-2.404338624,-0.975767196,0.595661376,-0.212304572,0.334034588,-0.030191519
89,0,NA,NA,-0.693027075,-1.010729383,1.722766598,-2.904338624,-0.904338624,1.095661376,-1.513112096,NA,NA
90,0,0,0,-1.064576126,1.899245892,1.840549633,-2.761481481,-1.404338624,0.024232804,-0.958100886,-1.143104623,-0.264336873
91,0,0,0,-0.52273376,0.517007637,1.568615918,-2.332910053,-0.547195767,1.381375661,0.516147641,0.758965046,0.819669397
92,0,0,0,-1.126500968,0.153260727,2.028148247,-2.19005291,-0.547195767,1.095661376,-0.69154945,-0.614870269,-0.614870269
93,1,1,1,-0.259553182,2.117494038,1.686398954,-2.404338624,-1.19005291,-0.261481481,-0.171835005,0.367759227,-0.063916158
94,0,0,0,0.421620079,0.480632946,1.547562509,-0.19005291,1.167089947,1.667089947,0.089925601,0.213917467,0.213917467
95,0,0,0,-0.507252549,-0.865230619,1.193922468,-2.261481481,-1.69005291,0.381375661,-0.731050846,-0.466159132,-0.55445637
96,1,0,1,0.096514659,1.390000219,1.824549292,-2.261481481,-0.832910053,0.167089947,0.480899953,0.198918451,0.621890704
97,0,0,0,-0.940726443,-0.828855928,1.774952351,-1.904338624,-0.904338624,1.095661376,-1.428449369,-1.132129825,-1.280289597
98,1,1,1,0.499026132,0.2623848,1.722766598,-0.261481481,1.095661376,1.738518519,-0.004175368,0.255986136,0.672244544
99,0,0,0,0.375176448,-0.319610255,1.589235205,-0.975767196,-0.475767196,0.738518519,-0.442733334,-0.264336873,0.270852508
100,0,0,0,-0.615621022,-0.792481237,1.16315081,-2.19005291,-1.19005291,0.524232804,-0.394417626,0.060865008,-0.394417626
101,0,0,0,-1.095538547,-1.192602838,1.504077397,-2.404338624,-0.904338624,-0.118624339,-0.366088928,-1.143104623,-1.272607239
102,0,0,NA,1.39693634,-0.719731856,1.481604541,1.30994709,3.238518519,NA,-0.311638965,-0.046747251,NA
103,1,1,1,1.304049077,0.698881091,1.757857918,-0.761481481,1.381375661,3.167089947,0.151921534,0.151921534,-0.199745051
104,1,1,1,0.886056394,1.42637491,1.704748092,-0.261481481,0.381375661,1.595661376,0.416813248,0.734683305,-0.007013494
105,1,1,1,0.700281868,0.371508873,1.458615023,-0.404338624,0.452804233,1.524232804,0.558499514,0.965077494,0.558499514
106,0,0,0,-0.832357969,0.953503928,1.774952351,-2.332910053,-0.832910053,0.667089947,-0.193784601,-0.292557782,-0.14439801
107,0,0,0,-1.002651284,-0.064987419,1.704748092,-2.547195767,-1.618624339,0.524232804,-0.430840236,-0.165948522,-0.218926865
108,0,0,0,-0.801395548,0.698881091,1.252762968,-1.975767196,-0.547195767,0.595661376,-0.347588555,0.03536918,-0.09783351
109,1,1,1,0.282289185,1.244501455,1.252762968,-0.832910053,0.524232804,1.667089947,0.98443835,0.98443835,0.98443835
110,0,0,0,0.173920712,0.444258255,1.945910149,-1.618624339,-1.118624339,1.595661376,-1.013602007,-1.055227848,-1.013602007
111,0,0,0,-0.785914338,-1.083478765,1.871802177,-1.19005291,-0.975767196,0.095661376,-1.148085493,-1.058429836,-1.148085493
112,0,0,0,-1.080057337,0.044136654,2.041220329,-2.332910053,-0.261481481,1.095661376,-0.604911934,-0.264336873,-0.491386914
113,1,1,1,1.273086656,0.917129237,1.568615918,1.238518519,1.595661376,1.952804233,0.880373748,1.244599855,1.244599855
114,0,1,1,-0.584658602,1.353625528,1.193922468,-1.975767196,-0.19005291,0.524232804,-0.55445637,-0.024672942,0.240218772
115,0,0,0,-0.259553182,-0.210486182,1.526056303,-2.332910053,-0.547195767,1.452804233,-0.354827831,-0.481515173,-0.608202514
116,0,0,0,-0.770433127,-1.010729383,1.722766598,-1.975767196,-0.547195767,0.595661376,-0.524498378,-0.472466077,-0.836692184
