site,y.1,y.2,y.3,elev,forest,length,date.1,date.2,date.3,ivel.1,ivel.2,ivel.3
117,0,0,0,-1.064576126,-1.010729383,1.458615023,-2.332910053,-0.904338624,0.667089947,0.355210524,0.694025507,1.03284049
118,0,0,0,-1.203907021,-0.792481237,1.458615023,-2.332910053,-0.975767196,0.667089947,-0.728997421,-0.728997421,-0.322419442
119,0,0,0,-1.327756704,-1.192602838,2.116255515,-2.332910053,-1.047195767,0.595661376,-1.392748219,-1.498066612,-1.217217566
120,1,1,1,0.344214027,-0.683357165,1.686398954,-0.332910053,2.667089947,2.738518519,-0.009956735,-0.009956735,0.151921534
121,0,0,0,-0.909764022,0.989878619,1.386294361,-2.332910053,-0.832910053,0.595661376,0.006231092,0.44330242,0.370457198
122,0,0,0,-1.157463389,-0.937980001,1.960094784,-1.832910053,-0.261481481,0.667089947,-0.997186183,-0.504711447,-0.422632324
123,0,0,0,-1.18842581,0.080511345,2.00148,-2.332910053,-0.404338624,0.667089947,-1.108103916,-0.871849144,-0.98997653
124,0,0,0,-1.033613705,1.317250837,1.740466175,-2.547195767,-0.547195767,0.167089947,-0.512631362,-0.665989723,-0.614870269
125,1,1,1,1.164718182,0.226010109,1.568615918,2.167089947,3.095661376,3.524232804,1.973052068,1.790939015,1.608825961
126,1,0,NA,0.591913395,-0.574233092,1.098612289,1.881375661,3.024232804,NA,3.065730388,3.065730388,NA
127,0,0,0,-0.739470706,-0.392359637,1.902107526,-2.547195767,-1.19005291,0.881375661,-0.413444363,-0.282975309,0.10843185
128,0,0,0,-1.141982179,-0.90160531,1.871802177,-2.69005291,-0.547195767,-0.261481481,-0.834290693,-0.654979379,-0.852221824
129,0,0,0,-1.080057337,-1.26535222,1.808288771,-1.975767196,0.30994709,0.80994709,-1.37663393,-1.37663393,-1.424401288
130,0,0,0,-1.064576126,1.280876146,1.824549292,-2.69005291,-0.832910053,0.881375661,-0.647026055,0.0579277,0.245915368
131,1,1,1,1.040868499,0.371508873,1.774952351,1.095661376,1.595661376,2.095661376,-0.983970053,-0.539490736,-0.539490736
132,0,0,0,-1.064576126,-0.610607783,1.435084525,-2.761481481,-1.332910053,1.381375661,-0.680595281,-1.027477287,-0.819348084
133,0,0,0,-1.080057337,-0.537858401,1.871802177,-2.761481481,-1.047195767,0.524232804,-1.148085493,-1.148085493,-1.148085493
134,0,0,0,-1.141982179,-1.156228147,1.609437912,-2.404338624,-0.904338624,1.095661376,-1.013602007,-0.663944945,-0.663944945
135,0,0,0,-0.553696181,-0.537858401,1.808288771,-1.975767196,-0.618624339,1.30994709,0.104154176,0.104154176,0.581827759
136,0,0,0,-0.785914338,0.044136654,1.458615023,-2.261481481,-1.19005291,0.524232804,1.168366483,1.507181466,1.100603487
137,0,0,0,-0.878801601,-0.574233092,1.686398954,-2.547195767,-0.547195767,0.738518519,-1.121520854,-0.333713275,-0.16104312
138,1,0,0,0.808650341,0.007761963,1.280933845,0.595661376,1.524232804,1.667089947,0.556617209,0.313799804,0.880373748
139,0,0,0,-0.429846497,1.899245892,1.945910149,-2.69005291,-0.19005291,0.80994709,-1.096853689,-0.888724485,-0.847098644
140,1,1,1,0.11199587,0.589757018,1.757857918,-0.904338624,-0.475767196,0.524232804,-0.651887805,-0.651887805,-0.651887805
141,0,0,0,-0.414365286,-0.50148371,1.435084525,-1.118624339,-0.118624339,1.524232804,0.568179942,0.98443835,2.64947198
142,0,0,0,-0.987170074,-0.865230619,1.808288771,-2.404338624,-0.19005291,2.024232804,-0.469054123,-0.182449973,-0.182449973
143,0,0,0,-1.126500968,-0.210486182,1.547562509,-2.332910053,-0.618624339,0.881375661,-1.087997127,-0.716021528,-0.902009328
144,0,0,0,-1.095538547,0.735255782,1.589235205,-2.832910053,-0.975767196,0.738518519,-0.085940413,-0.026474926,0.508714455
145,0,1,NA,1.08731213,-0.101362109,1.931521412,0.738518519,2.167089947,NA,-0.734889856,-0.481515173,NA
146,1,0,1,0.344214027,-0.101362109,1.504077397,-1.047195767,-0.475767196,1.095661376,-0.042332389,-0.042332389,0.151921534
147,0,0,0,-1.095538547,-1.156228147,1.648658626,-1.975767196,-0.547195767,0.595661376,-1.248948107,-1.417052464,-1.361017678
148,0,0,NA,-0.53821497,0.844379855,1.609437912,-0.761481481,0.095661376,1.30994709,-0.372564059,-0.314287882,NA
149,0,1,1,1.195680603,0.044136654,1.481604541,1.167089947,2.167089947,3.167089947,1.012819605,1.145265462,1.277711319
150,0,0,0,0.7467255,1.862871201,1.609437912,-0.19005291,1.30994709,2.167089947,-0.081183174,-0.372564059,-0.442495472
151,0,1,1,0.050071028,1.462749601,1.526056303,-2.69005291,-0.547195767,1.452804233,0.341952547,0.215265205,0.6586709
152,1,0,0,-1.234869442,-0.428734328,1.757857918,-1.904338624,-0.618624339,0.595661376,-0.45093547,-0.551411637,-0.551411637
153,0,0,NA,1.025387288,-1.26535222,1.335001067,0.738518519,2.452804233,NA,1.225430059,1.225430059,NA
154,0,0,0,-0.352440444,1.317250837,1.931521412,-2.547195767,-0.261481481,2.167089947,-0.861577197,-0.861577197,-1.11495188
155,0,0,0,-0.460808918,1.244501455,1.902107526,-2.332910053,-1.047195767,0.667089947,-1.196258682,-0.935320575,-1.152768997
156,0,0,0,-1.080057337,-1.047104074,1.526056303,-1.832910053,-0.475767196,0.667089947,-0.481515173,-0.101453149,-0.101453149
157,0,0,0,-0.971688863,1.171752073,1.589235205,-1.761481481,-1.118624339,-0.261481481,0.806041889,0.806041889,0.806041889
158,0,0,0,-0.971688863,1.171752073,1.589235205,-1.761481481,-1.118624339,-0.261481481,0.806041889,0.806041889,0.806041889
159,0,0,0,-1.296794283,0.2623848,1.609437912,-2.404338624,-0.832910053,1.595661376,0.734683305,0.851235659,1.200892722
160,0,0,0,-0.971688863,1.353625528,1.704748092,-2.404338624,-0.832910053,1.167089947,-0.059991837,-0.059991837,0.098943192
161,0,0,0,0.220364343,1.608248365,1.30833282,-0.547195767,1.238518519,1.738518519,0.466927897,0.073169944,-0.084333238
162,0,0,0,-1.420643967,0.444258255,1.987874348,-2.761481481,-1.761481481,-0.118624339,-1.484601246,-1.245110108,-1.324940487
163,1,0,0,1.288567866,-0.319610255,1.410986974,0.952804233,2.381375661,3.80994709,1.502223198,1.502223198,1.075812147
164,0,0,0,-0.073778656,0.771630473,1.589235205,-2.332910053,-0.404338624,0.595661376,-0.264336873,-0.264336873,-0.383267847
165,1,0,NA,1.133755761,-0.610607783,1.481604541,-0.404338624,1.595661376,NA,0.615482034,0.615482034,NA
166,1,1,1,0.700281868,-0.064987419,1.064710737,0.095661376,1.595661376,3.381375661,3.065730388,3.266682723,2.965254221
167,0,0,0,0.560950974,-0.50148371,1.193922468,-0.475767196,0.595661376,1.738518519,-0.11297018,-0.377861894,-0.55445637
168,1,1,1,0.251326764,0.153260727,1.386294361,-0.547195767,-0.261481481,0.595661376,2.118742511,1.608825961,1.608825961
169,0,0,0,0.003627397,1.244501455,1.704748092,-1.69005291,-0.618624339,0.381375661,0.098943192,0.098943192,0.25787822
170,0,0,0,-0.53821497,0.2623848,1.791759469,-2.332910053,0.167089947,1.30994709,0.151921534,0.297611977,0.103358053
171,0,0,0,-0.987170074,2.299367493,1.757857918,-1.618624339,-0.261481481,0.595661376,-0.350459302,-0.651887805,-0.601649721
172,1,1,1,0.359695238,0.626131709,1.252762968,-2.118624339,-0.547195767,0.452804233,0.318424897,0.318424897,0.734683305
173,0,1,0,0.220364343,2.008369965,1.481604541,-2.19005291,-0.618624339,-0.261481481,-0.510307751,0.085698606,-0.179193108
174,1,0,1,-0.445327707,0.553382327,1.410986974,-2.261481481,-0.475767196,1.452804233,0.436195569,0.009784517,0.436195569
175,0,0,0,-0.925245232,0.698881091,1.589235205,-2.69005291,-1.69005291,-0.618624339,-0.085940413,-0.264336873,-0.442733334
176,0,0,0,-1.049094916,-0.937980001,1.62924054,-1.618624339,-1.047195767,-0.832910053,-0.362280028,-0.362280028,-0.362280028
177,1,1,1,0.065552239,0.589757018,1.609437912,-1.904338624,0.095661376,1.881375661,0.501578597,0.385026243,0.385026243
178,1,0,0,-0.723989496,0.007761963,1.648658626,-2.904338624,-0.261481481,0.452804233,0.768304177,0.60019982,1.10451289
179,0,0,0,0.994424867,0.808005164,1.335001067,0.524232804,2.167089947,2.595661376,2.759013667,1.37878842,1.838863502
180,0,0,0,-1.018132495,-0.610607783,1.757857918,-2.332910053,-1.047195767,-0.547195767,-0.45093547,-0.199745051,-0.099268884
181,1,1,NA,1.10279334,-0.828855928,1.526056303,1.595661376,3.024232804,NA,1.102076595,0.912045583,NA
182,0,0,0,0.731244289,-0.028612728,1.223775432,-0.618624339,0.667089947,2.095661376,0.066221274,-0.019478986,-0.447980288
183,0,0,0,0.328732817,1.208126764,1.410986974,-1.047195767,-0.261481481,0.452804233,1.289017672,1.289017672,1.502223198
184,0,0,0,0.328732817,1.02625331,1.547562509,-0.975767196,1.381375661,2.595661376,0.027929668,-0.902009328,-0.282049997
185,1,0,0,0.173920712,0.480632946,1.504077397,-1.832910053,-0.618624339,0.095661376,0.993688537,1.123191152,1.123191152
186,0,1,1,0.978943657,-0.064987419,1.252762968,-0.475767196,0.524232804,3.381375661,1.733703484,1.234193394,1.234193394
187,1,1,0,-0.073778656,2.008369965,1.609437912,-2.904338624,-1.047195767,0.095661376,0.44330242,0.268473889,0.559854774
188,0,0,0,-1.080057337,-0.064987419,1.791759469,-2.904338624,-1.618624339,-0.404338624,-0.139459351,0.151921534,-0.430840236
189,0,0,0,-0.21310955,0.080511345,1.386294361,-1.832910053,-0.404338624,0.667089947,0.734683305,0.734683305,0.516147641
190,0,0,0,-1.18842581,-0.974354692,1.223775432,-1.832910053,-0.261481481,1.952804233,-0.447980288,0.323322055,-0.447980288
191,1,1,1,1.319530287,0.044136654,1.547562509,-0.047195767,1.667089947,2.952804233,0.399905267,1.267848329,1.143856463
192,1,1,1,1.08731213,1.135377383,1.526056303,-0.69005291,0.881375661,1.738518519,0.6586709,0.531983559,0.278608876
193,0,0,0,-0.352440444,0.771630473,1.410986974,-1.618624339,-1.047195767,-0.475767196,1.146880655,0.507264078,1.289017672
194,0,0,0,-1.126500968,-1.26535222,1.774952351,-2.19005291,-1.19005291,0.80994709,-0.193784601,-0.095011419,0.053148353
195,0,0,0,-0.352440444,0.226010109,1.609437912,-2.904338624,-0.547195767,0.595661376,0.210197711,0.385026243,0.734683305
196,0,0,0,-0.166665919,1.02625331,2.208274414,-2.118624339,0.024232804,1.738518519,-0.744635036,-0.488476016,-0.328376628
197,0,0,NA,1.242124235,-1.26535222,1.704748092,1.738518519,2.30994709,NA,-0.271905208,-0.854666979,NA
198,0,1,0,0.266807975,0.007761963,1.547562509,-1.832910053,0.095661376,1.595661376,-0.34404593,-0.282049997,-0.282049997
199,0,0,0,-0.987170074,-0.756106546,2.014903021,-1.832910053,-0.19005291,0.667089947,-0.897049653,-1.207855931,-0.935900438
200,0,0,0,-1.1729446,-1.228977529,1.974081026,-2.19005291,-0.904338624,0.524232804,-0.819348084,-1.304982892,-1.062165488
201,1,1,0,0.375176448,-0.283235564,1.360976553,-1.118624339,-0.118624339,1.30994709,1.422043342,1.49675639,1.556526828
202,0,0,NA,1.644635707,-1.26535222,1.887069649,0.667089947,1.667089947,NA,-0.642753608,-0.907645322,NA
203,1,0,NA,1.242124235,-1.047104074,1.410986974,0.667089947,1.881375661,NA,2.355045302,2.355045302,NA
204,0,1,NA,1.783966601,-1.26535222,1.335001067,0.667089947,1.595661376,NA,1.37878842,0.918713338,NA
205,0,0,NA,1.350492708,-1.228977529,1.360976553,0.595661376,1.095661376,NA,-0.072217608,-0.072217608,NA
206,1,1,1,0.003627397,0.844379855,1.435084525,-1.975767196,-0.904338624,0.381375661,1.192567554,1.261943955,1.331320356
207,1,0,NA,1.288567866,-0.937980001,1.481604541,1.595661376,2.595661376,NA,1.608825961,1.343934247,NA
208,1,1,NA,1.613673286,-0.756106546,1.526056303,1.667089947,2.238518519,NA,-0.291484161,0.025234193,NA
209,1,1,NA,1.753004181,-1.192602838,1.458615023,2.381375661,2.881375661,NA,1.981522443,2.184811432,NA
210,1,1,1,1.567229655,-0.174111491,1.916922612,0.667089947,1.452804233,2.452804233,0.323322055,0.323322055,0.323322055
211,1,1,1,0.917018815,2.117494038,2.140066163,-0.19005291,0.595661376,1.30994709,-1.356403049,-1.047882111,-1.52780357
212,1,1,1,1.009906078,1.717372438,1.871802177,0.452804233,1.30994709,1.452804233,0.107093706,-0.117045437,0.017438049
213,1,1,1,1.07183092,1.680997747,1.824549292,0.381375661,0.524232804,1.381375661,-0.036066134,0.0579277,0.104924617
214,1,1,1,1.025387288,1.717372438,1.526056303,0.095661376,1.024232804,2.024232804,1.038732925,1.038732925,1.038732925
215,0,0,NA,1.923297496,-1.26535222,1.667706821,1.452804233,2.452804233,NA,0.492782193,0.426809162,NA
216,1,1,1,0.994424867,1.244501455,1.547562509,-0.261481481,0.881375661,1.595661376,1.280247516,0.908271918,0.747082492
217,1,1,1,1.040868499,0.6625064,1.774952351,0.80994709,1.452804233,2.952804233,0.201308125,0.201308125,0.49762767
218,0,0,NA,1.660116918,-1.26535222,1.280933845,2.095661376,3.238518519,NA,2.09446077,2.09446077,NA
219,0,0,NA,1.660116918,-1.26535222,1.410986974,0.452804233,2.881375661,NA,-0.203421009,-0.203421009,NA
220,0,0,NA,1.969741127,-1.26535222,1.458615023,1.595661376,2.167089947,NA,1.710470456,1.710470456,NA
221,0,0,NA,1.814929022,-1.26535222,2.2300144,0.167089947,2.095661376,NA,-0.506035304,-0.88201064,NA
222,0,0,NA,2.279365337,-1.26535222,0.693147181,2.381375661,3.452804233,NA,0.151921534,0.006231092,NA
223,0,0,NA,2.434177442,-1.26535222,1.648658626,2.30994709,2.524232804,NA,1.328652033,1.160547676,NA
224,0,0,NA,1.969741127,-1.26535222,1.774952351,2.095661376,3.095661376,NA,0.250694716,0.54701426,NA
225,0,0,NA,1.195680603,-1.26535222,1.648658626,0.595661376,1.452804233,NA,-0.912739393,-0.576530679,NA
226,0,0,NA,1.505304813,-1.26535222,1.589235205,1.80994709,2.167089947,NA,0.092456048,0.092456048,NA
227,0,0,NA,1.040868499,-1.228977529,1.252762968,1.524232804,1.738518519,NA,0.734683305,-0.347588555,NA
228,0,0,NA,1.350492708,-1.26535222,1.740466175,2.381375661,3.238518519,NA,-1.228303712,-0.614870269,NA
229,0,0,NA,1.040868499,-1.26535222,0.336472237,1.381375661,1.80994709,NA,5.35515163,5.979539242,NA
230,0,0,NA,1.350492708,-0.719731856,1.223775432,2.238518519,2.667089947,NA,0.066221274,0.323322055,NA
231,0,0,NA,1.505304813,-1.26535222,0.182321557,2.095661376,2.667089947,NA,5.493904433,5.493904433,NA
232,0,0,NA,1.350492708,-1.26535222,1.481604541,1.167089947,2.167089947,NA,-0.377861894,0.615482034,NA
233,0,0,NA,1.195680603,-1.192602838,1.667706821,0.667089947,1.595661376,NA,-0.617763823,-0.452831247,NA
234,0,0,NA,1.195680603,-1.26535222,1.648658626,1.167089947,3.167089947,NA,0.263991106,0.263991106,NA
235,0,0,NA,1.660116918,-1.26535222,1.435084525,0.667089947,2.667089947,NA,-0.125584071,0.151921534,NA
236,0,0,NA,1.660116918,-1.26535222,0.993251773,1.738518519,2.80994709,NA,3.713243467,3.713243467,NA
237,0,0,NA,1.814929022,-1.26535222,1.064710737,1.80994709,3.30994709,NA,1.056207041,2.261921049,NA
